id,session,valid,pair,seed,item,response
2,2,1,2,table,chair,dinnerware
2,2,1,3,table,dinnerware,tablecloth
2,2,1,4,table,tablecloth,setting
2,2,1,5,table,setting,feast
2,2,1,6,table,feast,conversation
2,2,1,7,table,conversation,surface
2,2,1,8,table,surface,furniture
2,2,1,9,table,furniture,dine
2,2,1,10,table,dine,gather
2,2,1,11,table,gather,legs
2,2,1,12,table,legs,coffee
2,2,1,13,table,coffee,side
3,1,1,1,table,table,chair
3,1,1,2,table,chair,furniture
3,1,1,3,table,furniture,dining
3,1,1,4,table,dining,surface
3,1,1,5,table,surface,wooden
3,1,1,6,table,wooden,set
3,1,1,7,table,set,dinner
3,1,1,8,table,dinner,gathering
3,1,1,9,table,gathering,decor
3,1,1,10,table,decor,meal
3,1,1,11,table,meal,hospitality
3,1,1,12,table,hospitality,buffet
3,1,1,13,table,buffet,coffee
1,1,1,1,paper,paper,writing
1,1,1,2,paper,writing,ink
1,1,1,3,paper,ink,pen
1,1,1,4,paper,pen,notebook
1,1,1,5,paper,notebook,page
1,1,1,6,paper,page,blank
1,1,1,7,paper,blank,printer
1,1,1,8,paper,printer,document
1,1,1,9,paper,document,origami
1,1,1,10,paper,origami,journal
1,1,1,11,paper,journal,stationery
1,1,1,12,paper,stationery,recycling
1,1,1,13,paper,recycling,tree
2,2,1,1,paper,paper,pen
2,2,1,2,paper,pen,pencil
2,2,1,3,paper,pencil,stationery
2,2,1,4,paper,stationery,notebook
2,2,1,5,paper,notebook,writing
2,2,1,6,paper,writing,print
2,2,1,7,paper,print,sheet
2,2,1,8,paper,sheet,origami
2,2,1,9,paper,origami,journal
2,2,1,10,paper,journal,letter
2,2,1,11,paper,letter,document
2,2,1,12,paper,document,drawing
2,2,1,13,paper,drawing,stationary
3,1,1,1,paper,paper,pen
3,1,1,2,paper,pen,writing
3,1,1,3,paper,writing,ink
3,1,1,4,paper,ink,notebook
3,1,1,5,paper,notebook,page
3,1,1,6,paper,page,print
3,1,1,7,paper,print,document
3,1,1,8,paper,document,tree
3,1,1,9,paper,tree,stationary
3,1,1,10,paper,stationary,journal
3,1,1,11,paper,journal,pencil
3,1,1,12,paper,pencil,recycling
3,1,1,13,paper,recycling,stationary
1,1,1,1,bear,bear,forest
1,1,1,2,bear,forest,wildlife
1,1,1,3,bear,wildlife,grizzly
1,1,1,4,bear,grizzly,hibernate
1,1,1,5,bear,hibernate,fur
1,1,1,6,bear,fur,claws
1,1,1,7,bear,claws,strength
1,1,1,8,bear,strength,wilderness
1,1,1,9,bear,wilderness,predator
1,1,1,10,bear,predator,cubs
1,1,1,11,bear,cubs,wildlife
1,1,1,12,bear,wildlife,nature
1,1,0,13,bear,nature,alaska
2,2,1,1,bear,bear,wildlife
2,2,1,2,bear,wildlife,forest
2,2,1,3,bear,forest,grizzly
2,2,1,4,bear,grizzly,cubs
2,2,1,5,bear,cubs,roar
2,2,1,6,bear,roar,paw
2,2,1,7,bear,paw,habitat
2,2,1,8,bear,habitat,hibernation
2,2,1,9,bear,hibernation,mammal
2,2,1,10,bear,mammal,predator
2,2,1,11,bear,predator,wild
2,2,1,12,bear,wild,nature
2,2,1,13,bear,nature,preserve
3,1,1,1,bear,bear,wildlife
3,1,1,2,bear,wildlife,forest
3,1,1,3,bear,forest,grizzly
3,1,1,4,bear,grizzly,paw
3,1,1,5,bear,paw,cubs
3,1,1,6,bear,cubs,roar
3,1,1,7,bear,roar,habitat
3,1,1,8,bear,habitat,hunting
3,1,1,9,bear,hunting,wilderness
3,1,1,10,bear,wilderness,hibernate
3,1,1,11,bear,hibernate,strong
3,1,1,12,bear,strong,furry
3,1,1,13,bear,furry,nature
1,1,1,1,toaster,toaster,bread
1,1,1,2,toaster,bread,toast
1,1,1,3,toaster,toast,breakfast
1,1,1,4,toaster,breakfast,crispy
1,1,1,5,toaster,crispy,kitchen
1,1,1,6,toaster,kitchen,appliance
1,1,1,7,toaster,appliance,pop-up
1,1,1,8,toaster,pop-up,browning
1,1,1,9,toaster,browning,slices
1,1,1,10,toaster,slices,bagel
1,1,1,11,toaster,bagel,mornings
1,1,1,12,toaster,mornings,electrical
1,1,1,13,toaster,electrical,warm
2,2,1,1,toaster,toaster,kitchen
2,2,1,2,toaster,kitchen,breakfast
2,2,1,3,toaster,breakfast,appliance
2,2,1,4,toaster,appliance,toasted
2,2,1,5,toaster,toasted,bread
2,2,1,6,toaster,bread,bagel
2,2,1,7,toaster,bagel,crumbs
2,2,1,8,toaster,crumbs,timer
2,2,1,9,toaster,timer,pop
2,2,1,10,toaster,pop,browning
2,2,1,11,toaster,browning,warm
2,2,1,12,toaster,warm,electric
2,2,1,13,toaster,electric,morning
3,1,1,1,toaster,toaster,bread
3,1,1,2,toaster,bread,breakfast
3,1,1,3,toaster,breakfast,kitchen
3,1,1,4,toaster,kitchen,appliance
3,1,1,5,toaster,appliance,pop-up
3,1,1,6,toaster,pop-up,crispy
3,1,1,7,toaster,crispy,bagel
3,1,1,8,toaster,bagel,slices
3,1,1,9,toaster,slices,electrical
3,1,1,10,toaster,electrical,morning
3,1,1,11,toaster,morning,warm
3,1,1,12,toaster,warm,convenience
3,1,1,13,toaster,convenience,toast
